[3*]OC
[1*]C(C)=O
[4*]C(C)C
[8*]CC
[1*]C(N)=O
[5*]NC
[5*]N(C)C
[8*]CO
[8*]C(F)(F)F
[8*]CC#N
[11*]SC
[12*]S(C)(=O)=O
[15*]C1CC1
[15*]C1CCC1
[8*]C(C)(C)C
[4*]C(C)C=C
[8*]C(F)(F)Cl
[8*]C(F)F
[4*]CC(=C)C
[15*]C1CC1C
[15*]C1(C)CC1
[4*]CC#C
[3*]OCC#C
[5*]NCO
[5*]N1CCC1
[7*]CC=C
[8*]CN
[4*]CCC#C
[8*]C(N)C#N
